,Company,Model,Body Type,Trim Level,Engine Name,Engine Fuel Type,Engine Transmission,Engine Power,Engine Efficiency,Engine Emission,Price
0,Abarth,595,3 door Hatchback,Standard,"1.4 T-Jet 165 17"" Alloy",Petrol,Manual,165 bhp,39.2 mpg,,23135
1,Abarth,595,3 door Hatchback,Turismo,1.4 T-Jet 165 Xenon Headlights,Petrol,Manual,165 bhp,39.2 mpg,155 g/km,24635
2,Abarth,595,2 door Convertible,"165 17"" Alloy","1.4 T-Jet 165 17"" Alloy",Petrol,Manual,165 bhp,39.2 mpg,,25785
3,Abarth,595,2 door Convertible,Turismo,1.4 T-Jet 165 Xenon Headlights,Petrol,Manual,165 bhp,39.2 mpg,155 g/km,27285
4,Abarth,695,3 door Hatchback,Standard,1.4 T-Jet 180 Monza Exhaust,Petrol,Manual,180 bhp,40.9 mpg,,25635
5,Abarth,695,3 door Hatchback,Standard,1.4 T-Jet 180 Auto Monza Exhaust,Petrol,Automatic,180 bhp,40.3 mpg,,26985
6,Abarth,695,3 door Hatchback,Turismo,1.4 T-Jet 180 Xenon Headlights,Petrol,Manual,180 bhp,40.9 mpg,,27135
7,Abarth,695,3 door Hatchback,Turismo,1.4 T-Jet 180 Auto Xenon Headlights,Petrol,Automatic,180 bhp,40.9 mpg,,28485
8,Abarth,695,3 door Hatchback,Competizione,1.4 T-Jet 180 Xenon Headlights,Petrol,Manual,180 bhp,40.9 mpg,,29335
9,Abarth,695,3 door Hatchback,Competizione,1.4 T-Jet 180 Auto Xenon,Petrol,Automatic,180 bhp,40.3 mpg,,29835
10,Abarth,695,2 door Convertible,Standard,1.4 T-Jet 180 Monza Exhaust,Petrol,Manual,180 bhp,40.9 mpg,,28285
11,Abarth,695,2 door Convertible,Standard,1.4 T-Jet 180 Auto Monza Exhaust,Petrol,Automatic,180 bhp,39.8 mpg,,29635
12,Abarth,695,2 door Convertible,Turismo,1.4 T-Jet 180 Xenon Headlights,Petrol,Manual,180 bhp,40.9 mpg,,29785
13,Abarth,695,2 door Convertible,Turismo,1.4 T-Jet 180 Auto Xenon Headlights,Petrol,Automatic,180 bhp,39.8 mpg,,31135
14,Abarth,695,2 door Convertible,Competizione,1.4 T-Jet 180 Xenon Headlights,Petrol,Manual,180 bhp,40.9 mpg,,31985
15,Abarth,695,2 door Convertible,Competizione,1.4 T-Jet 180 Auto Xenon,Petrol,Automatic,180 bhp,39.8 mpg,,32485
16,Alfa Romeo,Tonale,5 door Hatchback,Speciale,1.3 PHEV Auto,Petrol/PlugIn Elec Hybrid,Automatic,280 bhp,N/A,,44595
